user,Subject,text
wheresestela1,Donald Trump," After the confrontation that cost Walter Wallace Jr. his life set off protests that devolved into rioting, looting and led to…"
TheFemaleYungin,Donald Trump," ""COVID-19 is still raging. Trump is still lying."" "
KathrynTomashu1,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
ajserino,Donald Trump,Let’s not forget who created these problems. Tell Donald Trump his scheme to undermine your right to vote safely in… 
SpeakBravely,Donald Trump, There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…
TMScarletFire,Donald Trump,'A vote for Donald Trump is a vote against the very ideals upon which our democracy was founded': Popovich endorses… 
mwamsley5,Donald Trump, There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…
SpeakBravely,Donald Trump," The same people who are outraged at AOC for slipping into a borrowed $14,000 outfit for a Vanity Fair photo shoot are…"
XchargerFan619,Donald Trump, Donald Trump is on track to become the worst jobs president in modern American history. 
eachlifeinplace,Donald Trump,"It is Friday, October 30, 2020. One citizen, I call for the removal from office by any legal means, the impeached f… "
oldsmartian,Donald Trump, Donald Trump is a dipshit. The presidency is no place for a dipshit.
ChristopherOrp1,Donald Trump," ""COVID-19 is still raging. Trump is still lying."" "
bnordsr,Donald Trump," Trump is going to try to make his re-election his final giant con, losing the election but keeping the presidency. Massive l…"
BlancheBullshit,Donald Trump,Download the official Donald Trump for President mobile app to get involved and share it with your friends! Togethe… 
JoshPainter2154,Donald Trump," Abandoned by Donald Trump, lemming-like cultists wander to their doom upon the frozen wastelands of Omaha. …"
Fot_roca,Donald Trump, Donald Trump is a dipshit. The presidency is no place for a dipshit.
FentonHolland,Donald Trump, ‘Trump rally sounds like Hitler in Berlin! Fuck Donald Trump’✌🏻
jemaan44041,Donald Trump," Donald Trump taking credit for President Obama’s economy is like a guy inheriting a fortune from his dad, then bragging a…"
7SinsOfTrump,Donald Trump, ‘It is currently unclear whether Facebook is giving Donald Trump an unfair advantage..but it is abundantly clear Facebo…
treesatreesa,Donald Trump," It is Friday, October 30, 2020. One citizen, I call for the removal from office by any legal means, the impeached fascist…"
GuaglioneTina,Donald Trump," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…"
oothoon,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
Francesnamorada,Donald Trump," No one deserves a more thorough drubbing on Election Day than Donald Trump.Well, maybe Lindsey Graham does,&amp; Mitch McC…"
Raphium,Donald Trump," BREAKING:  Donald Trump just called the process of counting all the votes, ""stealing an election.""How can anyone suppo…"
CommonSenseMich,Donald Trump," Donald Trump will go down as the most beloved President ever.God bless you, best President Trump! We all love and supp…"
josiemae51,Donald Trump, David Letterman calling Donald Trump a straight-up racist. In 2012... 
cynjblair,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
Dealfatigue,Donald Trump, ‘It is currently unclear whether Facebook is giving Donald Trump an unfair advantage..but it is abundantly clear Facebo…
TarotPriestess1,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
thomasmuff,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
oldsmartian,Donald Trump, It’s 2:30 in the morning and Donald Trump is completely melting down right now 
hezhitters,Donald Trump," PROTESTS PLANNED TO OPPOSE A STOLEN ELECTIONActivist groups plan to hit the streets next week, if President Donald Tru…"
Karlita59,Donald Trump, Remember... it’s not just Donald Trump being voted out.... it’s his entire family and garbage administration that’ll be ki…
walkrunfly1,Donald Trump, ‘It is currently unclear whether Facebook is giving Donald Trump an unfair advantage..but it is abundantly clear Facebo…
NastasiaTaz,Donald Trump, There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…
DavidPercelay,Donald Trump," Donald Trump, who has financial interests in Turkey, won’t stand up to Erdogan. Ever.He even interfered in a DOJ inves…"
saramelson,Donald Trump,    Americans understand the dire prospects of #ClimateChange. They will not accept…
BGMfoil,Donald Trump," ""COVID-19 is still raging. Trump is still lying."" "
Jeffrey52095461,Donald Trump, Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via 
Mohamme03832262,Donald Trump, The president's son delivered a whopper during a Fox News interview. 
RudyPHS16,Donald Trump, Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via 
realdonaIdump,Donald Trump, There’s a reason Donald Trump Jr. never pushes back on his cocaine usage
frogetteca,Donald Trump, There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…
supapally,Donald Trump," MAJOR BREAKING NEWS (UPDATE): As Donald Trump Falsely Declares That America ""Has Turned the Corner"" on COVID-19, Back in…"
tpsummers,Donald Trump, So-called “Liberal” media has spent the last 3.5 years insisting to the Black Community that Donald J. Trump is a “racist…
LinneyAnnette,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
jamieob256,Donald Trump,  I don’t want someone in the WH who wants to suppress the votes of our military. That’s why I’m votin…
Dalton642,Donald Trump, It’s very on brand with today’s Republican Party to choose a MAGA rally with Donald Trump over a much larger television audien…
iamnottense,Donald Trump, There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…
Sissymoon1956Ce,Donald Trump, There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…
kat_pep_,Donald Trump," As President Trump makes a hurried final push for reelection, he is relying not only on his campaign staff but on government offic…"
maggieveeus,Donald Trump," ""17"" posts today about the ""Great Reset"", which is a plan to enslave all humanity though health dictatorships.Like we see…"
eliseambrose,Donald Trump, There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…
DawnLenhardt,Donald Trump, Remember... it’s not just Donald Trump being voted out.... it’s his entire family and garbage administration that’ll be ki…
caraleeacs,Donald Trump," It is Friday, October 30, 2020. One citizen, I call for the removal from office by any legal means, the impeached fascist…"
jhentaichrist,Donald Trump, Donald Trump is not running against Joe Biden he's running against democracy the election and the American voter
JBellSATX,Donald Trump," ""Trump's insistence that we are 'rounding the corner' on the virus is nonsensical. As is his assertion that even if you do get Cov…"
apexnerd,Donald Trump, There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…
igbell2,Donald Trump, “My choice in the 2020 general election is between a personally offensive outsider who signs good policies into law and a…
sublimeviolets,Donald Trump, Show this clip to all of the people you know who support Donald Trump and claim he isn’t a racist.Decades of documentatio…
RoyRoyrd,Donald Trump,"  Thanks to Donald Trump turning the corner, he could not see the 86,401 new cases of CO… "
DePernaProperty,Donald Trump, The FBI was investigating Hunter Biden's overseas business deals in December 2019 while Donald Trump was being impeached…
blue_rose_nc,Donald Trump," “This is why we, two Orthodox American-Israelis and former IDF soldiers who care deeply about Israel’s safety, will be vot…"
tbdnonymous,Donald Trump,Coronavirus response shows Donald Trump's failure of leadership  via 
halfwayhippie,Donald Trump, The Independent:  airs 80-second supercut of 's racist remarks over the past 30 years.…
CrzyTmsJimB,Donald Trump, Donald Trump has not seen it as his duty to represent the majority of Americans who did not vote for him. Joe Biden would…
IfkaTatar,Donald Trump," Study Finds TheSingle Largest Driverof #Coronavirus Misinformation, #Lies, &amp; #HOAX #Denying ?The  REPUBLICANS Don…"
BazileMusic,Donald Trump," Republicans came down harder on Alexandria Ocasio-Cortez for wearing $14,000 worth of clothing in Vanity Fair than they d…"
DaveSayz,Donald Trump, White liberals demonizing Trump a racist also forgot...Whitney Houston was close to Donald Trump. Trump presented Whitney…
katona_barbara,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
FutureGirl2073,Donald Trump,"   Here’s another source similar to yours, but they also include how this sud… "
wbtegra,Donald Trump, David Letterman calling Donald Trump a straight-up racist. In 2012... 
MicheleDianeDR,Donald Trump, At the precise moment Donald Trump was impeached for expressing concern about potential Hunter Biden corruption in Ukraine…
canoetipper_k,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
ed_mac33,Donald Trump," I believe in science.Donald Trump doesn't.It's that simple, folks."
Pagecamper1,Donald Trump, Remember if Democrats vote in massive numbers . Donald Trump cannot contest the election.
SusanVajda,Donald Trump,"  I don’t want Hunter Biden’s laptop. I want Donald Trump’s taxes, his medical records, Ivanka’s and Jared…"
HoshinoLady,Donald Trump,"  Perhaps the biggest shock of all does not come from Trump, but from his tens of millions supporters and th…"
Shelsyy_S,Donald Trump," Donald Trump and Republicans had a choice: Take charge of this virus and pass a relief bill, or push through a Supreme Co…"
Meidas_Steve,Donald Trump," The same people who are outraged at AOC for slipping into a borrowed $14,000 outfit for a Vanity Fair photo shoot are…"
OpenMindPsychRN,Donald Trump, There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…
lordjakobi,Donald Trump, Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via 
realdonaIdump,Donald Trump," Donald Trump, Jr., laughing, says the 1,004 Americans who died of COVID-19 over the past 24 hours are ""almost nothing.""…"
sharonmwinner,Donald Trump," I did NOT fight cancer twice and win, battle Lupus every day to live through 4 more years of Donald Trump.He will DEST…"
HuffPostEnt,Donald Trump,The president's son delivered a whopper during a Fox News interview. 
Lynnjoh16722095,Donald Trump, Lil Jon has the BEST response when asked to support Donald Trump's re-election like Lil Wayne and Lil Pump.  …
MarifaP,Donald Trump,"  ""Just the facts, ma'am""Thanks to lyin' Donald Trump-Over 23M Americans on unemployment!Tens of thousands of…"
NewsroomJim,Donald Trump, ‘It is currently unclear whether Facebook is giving Donald Trump an unfair advantage..but it is abundantly clear Facebo…
Upson4WV,Donald Trump, At the precise moment Donald Trump was impeached for expressing concern about potential Hunter Biden corruption in Ukraine…
chilakeel,Donald Trump," ""It's like a gangster culture,"" Robert De Niro says of Donald Trump's presidency. ""He has no concept about what the right thing…"
Angel2daMax,Donald Trump, Americans plan widespread protests if Donald Trump interferes with election || Via: Reuters 
supapally,Donald Trump," Trump is going to try to make his re-election his final giant con, losing the election but keeping the presidency. Massive l…"
rob0349,Donald Trump," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…"
Fatboy_ElNegro,Donald Trump, Donald Trump has gotten:-$885 million in subsidies for his real estate empire-$287 million of his debt canceled-A $72.9…
RajChennai7,Donald Trump," I support Donald Trump, do you?"
timpeters420,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
suemayonline,Donald Trump, 🇺🇸🇺🇸🇺🇸God Bless America &amp; God Bless Donald J. Trump! 🇺🇸🇺🇸🇺🇸#RNC2020  #Trump2020 #KAG #MAGA  #RedNationRising …
FentonHolland,Donald Trump," It is Friday, October 30, 2020. One citizen, I call for the removal from office by any legal means, the impeached fascist…"
ANN13951880,Donald Trump, This is Donald Trump’s last Thursday as president.
salthegal123,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
WREN_Nigeria,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
SandHillInsight,Donald Trump,"  I don’t want Hunter Biden’s laptop. I want Donald Trump’s taxes, his medical records, Ivanka’s and Jared…"
